Paper	Intervention	Outcome	Efficacy	eNNT	GRADE	AMSTAR	k	Design	Age	BD_stage	Comparison	Comparison_type	TE	seTE	Rank	Meta_review	invTE	TE_lo	TE_up	Intervention_acro	Comparison_acro	Outcome_acro
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	divalproate	Medication use, Anticholinergic agents use	"eSMD=0.16 [-0.3, 0.63] <br> <img src=""https://www.linkpicture.com/q/Diapositive12.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=11.1	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	20	Network meta-analysis	Adults	Mania/Mixed	olanzapine	mono	0.16	0.24	III (Low)	Kishi T., 2021 (NMA)	-0.16	-0.3	0.63	div	ola	Medication use, Anticholinergic
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	lithium	Medication use, Anticholinergic agents use	"eSMD=0.25 [-0.22, 0.72] <br> <img src=""https://www.linkpicture.com/q/Diapositive13.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=7.13	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	20	Network meta-analysis	Adults	Mania/Mixed	olanzapine	mono	0.25	0.24	III (Low)	Kishi T., 2021 (NMA)	-0.25	-0.22	0.72	lit	ola	Medication use, Anticholinergic
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	olanzapine	Medication use, Anticholinergic agents use	"eSMD=0.26 [-0.08, 0.61] <br> <img src=""https://www.linkpicture.com/q/Diapositive13.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=6.86	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	20	Network meta-analysis	Adults	Mania/Mixed	risperidone	mono	0.26	0.18	III (Low)	Kishi T., 2021 (NMA)	-0.26	-0.08	0.61	ola	risp	Medication use, Anticholinergic
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	aripiprazole	Medication use, Anticholinergic agents use	"eSMD=0.49 [0.22, 0.76] <br> <img src=""https://www.linkpicture.com/q/Diapositive16.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=3.69	"High <br> <img src=""https://www.linkpicture.com/q/Diapositive1_2.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	20	Network meta-analysis	Adults	Mania/Mixed	haloperidol	mono	0.49	0.14	I (High)	Kishi T., 2021 (NMA)	-0.49	0.22	0.76	ari	hal	Medication use, Anticholinergic
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	tamoxifen	Medication use, Anxiolytics use	"eSMD=0.22 [-0.22, 0.66] <br> <img src=""https://www.linkpicture.com/q/Diapositive13.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=8.09	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.22	0.22	II (Moderate)	Kishi T., 2021 (NMA)	-0.22	-0.22	0.66	tamox	pbo	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	quetiapine	Medication use, Anxiolytics use	"eSMD=0.14 [0.07, 0.23] <br> <img src=""https://www.linkpicture.com/q/Diapositive12.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=12.68	"High <br> <img src=""https://www.linkpicture.com/q/Diapositive1_2.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.14	0.04	I (High)	Kishi T., 2021 (NMA)	-0.14	0.07	0.23	que	pbo	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	paliperidone	Medication use, Anxiolytics use	"eSMD=0.08 [-0.03, 0.18] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=22.17	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.08	0.05	II (Moderate)	Kishi T., 2021 (NMA)	-0.08	-0.03	0.18	pal	pbo	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	olanzapine	Medication use, Anxiolytics use	"eSMD=0.07 [0.02, 0.12] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=25.33	"High <br> <img src=""https://www.linkpicture.com/q/Diapositive1_2.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.07	0.03	I (High)	Kishi T., 2021 (NMA)	-0.07	0.02	0.12	ola	pbo	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	divalproate	Medication use, Anxiolytics use	"eSMD=0.05 [-0.01, 0.11] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=35.46	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.05	0.03	II (Moderate)	Kishi T., 2021 (NMA)	-0.05	-0.01	0.11	div	pbo	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	asenapine	Medication use, Anxiolytics use	"eSMD=0.04 [-0.03, 0.1] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=44.32	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.04	0.03	II (Moderate)	Kishi T., 2021 (NMA)	-0.04	-0.03	0.1	ase	pbo	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	lithium	Medication use, Anxiolytics use	"eSMD=0.02 [-0.03, 0.06] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=88.63	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.02	0.02	II (Moderate)	Kishi T., 2021 (NMA)	-0.02	-0.03	0.06	lit	pbo	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	cariprazine	Medication use, Anxiolytics use	"eSMD=0.01 [-0.06, 0.06] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=177.25	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.01	0.03	II (Moderate)	Kishi T., 2021 (NMA)	-0.01	-0.06	0.06	car	pbo	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	carbamazepine	Medication use, Anxiolytics use	"eSMD=0.01 [-0.07, 0.08] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=177.25	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.01	0.04	II (Moderate)	Kishi T., 2021 (NMA)	-0.01	-0.07	0.08	cbz	pbo	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	risperidone	Medication use, Anxiolytics use	"eSMD=0.01 [-0.06, 0.07] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=177.25	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0.01	0.03	II (Moderate)	Kishi T., 2021 (NMA)	-0.01	-0.06	0.07	risp	pbo	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	haloperidol	Medication use, Anxiolytics use	"eSMD=0 [-0.08, 0.08] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=Inf	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	0	0.04	II (Moderate)	Kishi T., 2021 (NMA)	0	-0.08	0.08	hal	pbo	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	aripiprazole	Medication use, Anxiolytics use	"eSMD=-0.02 [-0.06, 0.02] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=88.63	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.02	0.02	II (Moderate)	Kishi T., 2021 (NMA)	0.02	-0.06	0.02	ari	pbo	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	ziprasidone	Medication use, Anxiolytics use	"eSMD=-0.02 [-0.1, 0.05] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=88.63	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	placebo	mono	-0.02	0.04	II (Moderate)	Kishi T., 2021 (NMA)	0.02	-0.1	0.05	zip	pbo	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	haloperidol	Medication use, Anxiolytics use	"eSMD=-0.14 [-0.25, -0.03] <br> <img src=""https://www.linkpicture.com/q/Diapositive9.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=12.68	"High <br> <img src=""https://www.linkpicture.com/q/Diapositive1_2.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	quetiapine	mono	-0.14	0.06	I (High)	Kishi T., 2021 (NMA)	0.14	-0.25	-0.03	hal	que	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	lithium	Medication use, Anxiolytics use	"eSMD=-0.13 [-0.21, -0.04] <br> <img src=""https://www.linkpicture.com/q/Diapositive9.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=13.65	"High <br> <img src=""https://www.linkpicture.com/q/Diapositive1_2.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	quetiapine	mono	-0.13	0.04	I (High)	Kishi T., 2021 (NMA)	0.13	-0.21	-0.04	lit	que	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	paliperidone	Medication use, Anxiolytics use	"eSMD=-0.07 [-0.18, 0.03] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=25.33	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	quetiapine	mono	-0.07	0.05	II (Moderate)	Kishi T., 2021 (NMA)	0.07	-0.18	0.03	pal	que	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	lamotrigine	Medication use, Anxiolytics use	"eSMD=-0.06 [-0.13, 0.01] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=29.55	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	lithium	mono	-0.06	0.04	II (Moderate)	Kishi T., 2021 (NMA)	0.06	-0.13	0.01	lam	lit	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	lithium	Medication use, Anxiolytics use	"eSMD=-0.05 [-0.11, 0.01] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=35.46	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	olanzapine	mono	-0.05	0.03	II (Moderate)	Kishi T., 2021 (NMA)	0.05	-0.11	0.01	lit	ola	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	aripiprazole	Medication use, Anxiolytics use	"eSMD=-0.04 [-0.09, 0.02] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=44.32	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	lithium	mono	-0.04	0.03	II (Moderate)	Kishi T., 2021 (NMA)	0.04	-0.09	0.02	ari	lit	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	asenapine	Medication use, Anxiolytics use	"eSMD=-0.03 [-0.1, 0.03] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=59.09	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	olanzapine	mono	-0.03	0.03	II (Moderate)	Kishi T., 2021 (NMA)	0.03	-0.1	0.03	ase	ola	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	divalproate	Medication use, Anxiolytics use	"eSMD=-0.02 [-0.09, 0.05] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=88.63	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	olanzapine	mono	-0.02	0.04	II (Moderate)	Kishi T., 2021 (NMA)	0.02	-0.09	0.05	div	ola	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	aripiprazole	Medication use, Anxiolytics use	"eSMD=-0.02 [-0.1, 0.06] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=88.63	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	haloperidol	mono	-0.02	0.04	II (Moderate)	Kishi T., 2021 (NMA)	0.02	-0.1	0.06	ari	hal	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	haloperidol	Medication use, Anxiolytics use	"eSMD=-0.01 [-0.1, 0.09] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=177.25	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	risperidone	mono	-0.01	0.05	II (Moderate)	Kishi T., 2021 (NMA)	0.01	-0.1	0.09	hal	risp	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	divalproate	Medication use, Anxiolytics use	"eSMD=0.03 [-0.04, 0.1] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=59.09	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	High	28	Network meta-analysis	Adults	Mania/Mixed	lithium	mono	0.03	0.04	II (Moderate)	Kishi T., 2021 (NMA)	-0.03	-0.04	0.1	div	lit	Medication use, Anxiolytics
"<a href='https://doi.org/' target=""_blank"">McKnight R.F., 2019 (MA)</a>"	lithium	Medication use, any	"eSMD=0.06 [-0.25, 0.36] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=29.55	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	2	Pairwise meta-analysis	Adults	Mania/Mixed	placebo	mono	0.06	0.16	III (Low)	McKnight R.F., 2019 (MA)	-0.06	-0.25	0.36	lit	pbo	Medication use, any
"<a href='https://doi.org/' target=""_blank"">Rendell J.M., 2010 (MA)</a>"	risperidone	Medication use, any	"eSMD=-0.08 [-0.17, 0.02] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=22.17	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	2	Pairwise meta-analysis	Adults	Mania/Mixed	placebo	aug	-0.08	0.05	III (Low)	Rendell J.M., 2010 (MA)	0.08	-0.17	0.02	risp	pbo	Medication use, any
"<a href='https://doi.org/' target=""_blank"">McKnight R.F., 2019 (MA)</a>"	lithium	Medication use, Sleep medication use	"eSMD=-0.1 [-0.35, 0.14] <br> <img src=""https://www.linkpicture.com/q/Diapositive9.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=17.74	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	2	Pairwise meta-analysis	Adults	Mania/Mixed	quetiapine	mono	-0.1	0.12	II (Moderate)	McKnight R.F., 2019 (MA)	0.1	-0.35	0.14	lit	que	Medication use, Sleep
"<a href='https://doi.org/' target=""_blank"">Cipriani A., 2013 (MA)</a>"	carbamazepine	Mortality Rate	"eSMD=-0.61 [-1.65, 0.48] <br> <img src=""https://www.linkpicture.com/q/Diapositive4.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=3	"Moderate <br> <img src=""https://www.linkpicture.com/q/Diapositive2_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	2	Pairwise meta-analysis	Adults	Maintenance	lithium	mono	-0.61	0.54	II (Moderate)	Cipriani A., 2013 (MA)	0.61	-1.65	0.48	cbz	lit	Mortality Rate
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	lithium	Mortality Rate	"eSMD=0.32 [-0.72, 1.39] <br> <img src=""https://www.linkpicture.com/q/Diapositive14.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=5.59	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	11	Network meta-analysis	Adults	Maintenance	placebo	mono	0.32	0.54	III (Low)	Kishi T., 2021 (NMA)	-0.32	-0.72	1.39	lit	pbo	Mortality Rate
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	quetiapine	Mortality Rate	"eSMD=0.07 [-1.12, 1.27] <br> <img src=""https://www.linkpicture.com/q/Diapositive11.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNT=25.33	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	11	Network meta-analysis	Adults	Maintenance	placebo	mono	0.07	0.61	III (Low)	Kishi T., 2021 (NMA)	-0.07	-1.12	1.27	que	pbo	Mortality Rate
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	asenapine	Mortality Rate	"eSMD=-0.01 [-2.16, 2.16] <br> <img src=""https://www.linkpicture.com/q/Diapositive10.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=177.25	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	11	Network meta-analysis	Adults	Maintenance	placebo	mono	-0.01	1.1	III (Low)	Kishi T., 2021 (NMA)	0.01	-2.16	2.16	ase	pbo	Mortality Rate
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	risperidone LAI	Mortality Rate	"eSMD=-0.19 [-2.16, 1.77] <br> <img src=""https://www.linkpicture.com/q/Diapositive8.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=9.36	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	11	Network meta-analysis	Adults	Maintenance	placebo	mono	-0.19	1	III (Low)	Kishi T., 2021 (NMA)	0.19	-2.16	1.77	rispLAI	pbo	Mortality Rate
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	lamotrigine	Mortality Rate	"eSMD=-0.26 [-1.77, 1.22] <br> <img src=""https://www.linkpicture.com/q/Diapositive8.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=6.86	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	11	Network meta-analysis	Adults	Maintenance	placebo	mono	-0.26	0.76	III (Low)	Kishi T., 2021 (NMA)	0.26	-1.77	1.22	lam	pbo	Mortality Rate
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	olanzapine	Mortality Rate	"eSMD=-0.36 [-1.77, 1.12] <br> <img src=""https://www.linkpicture.com/q/Diapositive6.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=4.98	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	11	Network meta-analysis	Adults	Maintenance	placebo	mono	-0.36	0.74	III (Low)	Kishi T., 2021 (NMA)	0.36	-1.77	1.12	ola	pbo	Mortality Rate
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	aripiprazole LAI	Mortality Rate	"eSMD=-0.61 [-2.54, 1.17] <br> <img src=""https://www.linkpicture.com/q/Diapositive4.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=3	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	11	Network meta-analysis	Adults	Maintenance	placebo	mono	-0.61	0.95	III (Low)	Kishi T., 2021 (NMA)	0.61	-2.54	1.17	ariLAI	pbo	Mortality Rate
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	paliperidone	Mortality Rate	"eSMD=-0.89 [-2.54, 0.81] <br> <img src=""https://www.linkpicture.com/q/Diapositive1.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=2.12	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	11	Network meta-analysis	Adults	Maintenance	placebo	mono	-0.89	0.85	III (Low)	Kishi T., 2021 (NMA)	0.89	-2.54	0.81	pal	pbo	Mortality Rate
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	lamotrigine	Mortality Rate	"eSMD=-0.58 [-2.16, 0.92] <br> <img src=""https://www.linkpicture.com/q/Diapositive4.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=3.14	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	11	Network meta-analysis	Adults	Maintenance	lithium	mono	-0.58	0.79	III (Low)	Kishi T., 2021 (NMA)	0.58	-2.16	0.92	lam	lit	Mortality Rate
"<a href='https://doi.org/' target=""_blank"">Kishi T., 2021 (NMA)</a>"	divalproate	Mortality Rate	"eSMD=-0.23 [-1.22, 0.77] <br> <img src=""https://www.linkpicture.com/q/Diapositive8.png"" height=""30"" width=""60%"" data-toggle=""tooltip"" data-placement=""right""></img>"	eNNH=7.74	"Low <br> <img src=""https://www.linkpicture.com/q/Diapositive3_1.png"" height=""30"" data-toggle=""tooltip"" data-placement=""right""""></img>"	Critically Low	11	Network meta-analysis	Adults	Maintenance	lithium	mono	-0.23	0.51	III (Low)	Kishi T., 2021 (NMA)	0.23	-1.22	0.77	div	lit	Mortality Rate
